Design,Strut Radius (um) ,Center Mass Radius (µm) ,Corner Mass Radius (um) ,Bandgap 1 Width (MHz),Bandgap 1 Center (MHz),Bandgap 2 Width (MHz),Bandgap 2 Center (MHz),Bandgap 3 Width (MHz),Bandgap 3 Center (MHz)
BC No Mass,4.275,,,0.12,2.38,0.06,4.83,2.5,
BC No Mass,5.032,,,0.2532,5.8073,,,2.26,
BC No Mass,5.7392,,,0.288,6.6706,0.0645,8.8178,,
BC No Mass,6.4071,,,0.1436,7.4383,0.3542,9.8994,,
BC Center Mass,4.275,10,,0.19,2.165,0.39,6.485,,
BC Center Mass,4.275,11.804,,0.2035,2.0205,1.1433,6.0957,,
BC Center Mass,4.275,14.872,,0.1993,1.8161,1.6732,6.0547,,
BC Center Mass,4.275,15,,0.2,1.81,1.69,6.065,,
BC Center Mass,4.275,18.738,,0.1252,1.6533,0.3075,3.9474,2.4327,6.4153
BC Center Mass,4.275,20,,0.08,1.62,0.55,3.915,2.74,6.58
BC Center Mass,5.032,10,,0.08,2.78,0.69,7.625,,
BC Center Mass,5.032,10.216,,0.0843,2.7626,0.7767,7.5797,,
BC Center Mass,5.032,12.9036,,0.1391,2.5558,1.1686,7.1983,,
BC Center Mass,5.032,14.7709,,0.1389,2.4143,1.1498,7.1788,,
BC Center Mass,5.032,15,,0.13,2.405,1.14,7.21,,
BC Center Mass,5.032,16.258,,0.1074,2.328,1.2758,7.2671,,
BC Center Mass,5.032,20,,0.36,5.09,2.09,7.665,,
BC Center Mass,5.7392,10,,0.61,8.785,,,,
BC Center Mass,5.7392,11.18,,0.8641,8.7576,,,,
BC Center Mass,5.7392,14.086,,0.8891,8.4477,,,,
BC Center Mass,5.7392,15,,0.86,8.41,,,,
BC Center Mass,5.7392,16.124,,0.8378,8.3897,,,,
BC Center Mass,5.7392,17.747,,0.9634,8.48,,,,
BC Center Mass,5.7392,20,,0.24,6.17,1.42,8.69,,
BC Center Mass,6.4071,10,,0.53,9.935,,,,
BC Center Mass,6.4071,11.556,,0.7262,9.8979,,,,
BC Center Mass,6.4071,15,,0.66,9.65,,,,
BC Center Mass,6.4071,16.342,,0.4341,9.6079,,,,
BC Center Mass,6.4071,20,,0.04,5.71,0.2,7.23,0.83,9.785
BC Center Mass,6.4071,20.015,,0.0276,5.6953,0.2125,7.1896,0.7173,9.7423
BC Corner Mass ,4.275,,10,0.05,2.505,0.08,4.9,,
BC Corner Mass ,4.275,,11.804,0.3159,5.3497,,,,
BC Corner Mass ,4.275,,14.872,1.1756,6.4542,,,,
BC Corner Mass ,4.275,,15,1.21,6.495,,,,
BC Corner Mass ,4.275,,18.738,2.9312,7.3327,,,,
BC Corner Mass ,4.275,,20,3.59,7.665,,,,
BC Corner Mass ,5.032,,10,0.24,5.84,,,,
BC Corner Mass ,5.032,,10.216,0.4389,6.1151,,,,
